timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728045990513,830,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-40,,true,,5664,571,2,6,null,0,102,665
1728045990614,830,enter the store,200,,Scenario 2 2-40,text,true,,5664,571,2,6,https://petstore.octoperf.com/actions/Catalog.action,829,0,665
1728045989931,1321,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-61,,true,,5664,571,4,6,null,0,196,1151
1728045990119,1321,enter the store,200,,Scenario1 1-61,text,true,,5664,571,4,6,https://petstore.octoperf.com/actions/Catalog.action,1320,0,1151
1728045990422,936,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-60,,true,,5664,571,4,6,null,0,89,764
1728045990504,936,enter the store,200,,Scenario1 1-60,text,true,,5664,571,4,6,https://petstore.octoperf.com/actions/Catalog.action,935,0,764
1728045990915,631,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-59,,true,,5664,571,4,6,null,0,8,477
1728045990921,631,enter the store,200,,Scenario1 1-59,text,true,,5664,571,4,6,https://petstore.octoperf.com/actions/Catalog.action,630,0,477
1728045991263,616,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-39,,true,,5664,571,2,7,null,0,32,464
1728045991295,616,enter the store,200,,Scenario 2 2-39,text,true,,5664,571,2,7,https://petstore.octoperf.com/actions/Catalog.action,615,0,464
1728045991406,625,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-58,,true,,5664,571,5,8,null,0,100,470
1728045991505,625,enter the store,200,,Scenario1 1-58,text,true,,5664,571,5,8,https://petstore.octoperf.com/actions/Catalog.action,624,0,470
1728045991898,637,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-57,,true,,5664,571,6,9,null,0,52,478
1728045991949,637,enter the store,200,,Scenario1 1-57,text,true,,5664,571,6,9,https://petstore.octoperf.com/actions/Catalog.action,636,0,478
1728045992013,629,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-38,,true,,5664,571,3,9,null,0,79,475
1728045992091,629,enter the store,200,,Scenario 2 2-38,text,true,,5664,571,3,9,https://petstore.octoperf.com/actions/Catalog.action,628,0,475
1728045992388,645,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-56,,true,,5664,571,7,11,null,0,71,487
1728045992459,645,enter the store,200,,Scenario1 1-56,text,true,,5664,571,7,11,https://petstore.octoperf.com/actions/Catalog.action,644,0,487
1728045992763,589,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-37,,true,,5664,571,4,11,null,0,7,441
1728045992769,589,enter the store,200,,Scenario 2 2-37,text,true,,5664,571,4,11,https://petstore.octoperf.com/actions/Catalog.action,588,0,441
1728045992881,666,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-55,,true,,5664,571,8,13,null,0,17,499
1728045992898,666,enter the store,200,,Scenario1 1-55,text,true,,5664,571,8,13,https://petstore.octoperf.com/actions/Catalog.action,665,0,499
1728045993372,686,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-54,,true,,5664,571,9,14,null,0,56,517
1728045993427,686,enter the store,200,,Scenario1 1-54,text,true,,5664,571,9,14,https://petstore.octoperf.com/actions/Catalog.action,685,0,517
1728045993512,701,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-36,,true,,5664,571,6,15,null,0,98,529
1728045993610,701,enter the store,200,,Scenario 2 2-36,text,true,,5664,571,6,15,https://petstore.octoperf.com/actions/Catalog.action,700,0,529
1728045993866,614,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-53,,true,,5664,571,10,16,null,0,91,464
1728045993956,614,enter the store,200,,Scenario1 1-53,text,true,,5664,571,10,16,https://petstore.octoperf.com/actions/Catalog.action,613,0,464
1728045994272,633,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-35,,true,,5664,571,6,17,null,0,21,476
1728045994292,633,enter the store,200,,Scenario 2 2-35,text,true,,5664,571,6,17,https://petstore.octoperf.com/actions/Catalog.action,633,0,476
1728045994356,619,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-52,,true,,5664,571,11,18,null,0,63,467
1728045994418,619,enter the store,200,,Scenario1 1-52,text,true,,5664,571,11,18,https://petstore.octoperf.com/actions/Catalog.action,619,0,467
1728045995012,642,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-34,,true,,5664,571,7,19,null,0,24,482
1728045995035,642,enter the store,200,,Scenario 2 2-34,text,true,,5664,571,7,19,https://petstore.octoperf.com/actions/Catalog.action,641,0,482
1728045994848,780,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-51,,true,,5664,571,12,19,null,0,62,604
1728045994909,780,enter the store,200,,Scenario1 1-51,text,true,,5664,571,12,19,https://petstore.octoperf.com/actions/Catalog.action,779,0,604
1728045995340,667,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-50,,true,,5664,571,13,21,null,0,4,506
1728045995343,667,enter the store,200,,Scenario1 1-50,text,true,,5664,571,13,21,https://petstore.octoperf.com/actions/Catalog.action,667,0,506
1728045995763,620,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 2-33,,true,,5664,571,8,22,null,0,47,465
1728045995809,620,enter the store,200,,Scenario 2 2-33,text,true,,5664,571,8,22,https://petstore.octoperf.com/actions/Catalog.action,620,0,465
1728045995832,612,Enter the store,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 1-49,,true,,5664,571,14,22,null,0,41,460
1728045995872,612,enter the store,200,,Scenario1 1-49,text,true,,5664,571,14,22,https://petstore.octoperf.com/actions/Catalog.action,612,0,460
